time,Obj1,Obj2,Obj3,
2024-05-08 15:29:31:870,AheadCar_0_0 x=332674.28125 y=425367.75 z=138.671005,SidewaysCar_0_0 x=334815.65625 y=428821.375 z=112.195999,
2024-05-08 15:29:31:895,AheadCar_0_0 x=332674.28125 y=425367.75 z=138.671005,SidewaysCar_0_0 x=334815.65625 y=428821.375 z=112.195999,
2024-05-08 15:29:31:920,AheadCar_0_0 x=332647.375 y=425336.25 z=138.792007,SidewaysCar_0_0 x=334795.65625 y=428794.875 z=112.374001,
2024-05-08 15:29:31:945,AheadCar_0_0 x=332621.125 y=425305.5 z=138.910004,SidewaysCar_0_0 x=334776.15625 y=428769.09375 z=112.546997,
2024-05-08 15:29:31:970,AheadCar_0_0 x=332594.25 y=425274.03125 z=139.044006,SidewaysCar_0_0 x=334756.28125 y=428742.78125 z=112.723,
2024-05-08 15:29:31:995,AheadCar_0_0 x=332568.9375 y=425244.40625 z=139.188004,SidewaysCar_0_0 x=334737.59375 y=428718.03125 z=112.889,
2024-05-08 15:29:32:020,AheadCar_0_0 x=332544.0 y=425215.1875 z=139.330002,SidewaysCar_0_0 x=334719.125 y=428693.5625 z=113.053001,
2024-05-08 15:29:32:045,AheadCar_0_0 x=332518.65625 y=425185.5 z=139.473999,SidewaysCar_0_0 x=334700.3125 y=428668.71875 z=113.220001,
2024-05-08 15:29:32:070,AheadCar_0_0 x=332492.0625 y=425154.40625 z=139.626007,SidewaysCar_0_0 x=334680.59375 y=428642.59375 z=113.394997,
2024-05-08 15:29:32:095,AheadCar_0_0 x=332467.09375 y=425125.15625 z=139.768005,SidewaysCar_0_0 x=334662.09375 y=428618.09375 z=113.611,
2024-05-08 15:29:32:120,AheadCar_0_0 x=332443.09375 y=425097.0625 z=139.904007,SidewaysCar_0_0 x=334644.21875 y=428594.4375 z=113.848999,
2024-05-08 15:29:32:145,AheadCar_0_0 x=332417.34375 y=425066.875 z=140.050995,SidewaysCar_0_0 x=334625.03125 y=428569.03125 z=114.106003,
2024-05-08 15:29:32:170,AheadCar_0_0 x=332391.5 y=425036.5625 z=140.199005,SidewaysCar_0_0 x=334605.71875 y=428543.53125 z=114.363998,
2024-05-08 15:29:32:195,AheadCar_0_0 x=332368.0 y=425009.09375 z=140.332001,SidewaysCar_0_0 x=334588.15625 y=428520.28125 z=114.598,
2024-05-08 15:29:32:220,AheadCar_0_0 x=332338.15625 y=424974.125 z=140.503006,SidewaysCar_0_0 x=334566.1875 y=428491.1875 z=114.891998,
